id,number,enname,form1,form2,form3,form4,form5,type1,type2,hp,attack,defense,spattack,spdefense,speed,krname,imgname
d82ebc64-6996-4ef6-81a6-f868424e1950,001,Bulbasaur,,,,,,Grass,Poison,45,49,49,65,65,45,이상해씨,bulbasaur.avif
48de0b6d-0ca0-4beb-a2c3-93f2eb0c4b6e,002,Ivysaur,,,,,,Grass,Poison,60,62,63,80,80,60,이상해풀,ivysaur.avif
ab65a833-c414-4102-8ea3-18d8bc8369e0,003,Venusaur,Mega Venusaur,,,,,Grass,Poison,80,82,83,100,100,80,이상해꽃,venusaur.avif
519aaa23-c4b4-4a2f-a0af-cc93299143c4,004,Charmander,,,,,,Fire,,39,52,43,60,50,65,파이리,charmander.avif
ec0393f6-3664-4562-ba26-84f36695d6f2,005,Charmeleon,,,,,,Fire,,58,64,58,80,65,80,리자드,charmeleon.avif
082ce7c4-b751-49e8-a349-f4448cebd051,006,Charizard,Mega Charizard X,Mega Charizard Y,,,,Fire,Flying,78,84,78,109,85,100,리자몽,charizard.avif
cd861eae-8725-4244-bcf8-e0e5381e3265,007,Squirtle,,,,,,Water,,44,48,65,50,64,43,꼬부기,squirtle.avif
4524ac7f-9d9b-4141-a044-73ac2ef9a474,008,Wartortle,,,,,,Water,,59,63,80,65,80,58,어니부기,wartortle.avif
18ba6a02-fccf-45fc-8d44-6f2ca39f323b,009,Blastoise,Mega Blastoise,,,,,Water,,79,83,100,85,105,78,거북왕,blastoise.avif
74409142-e070-4c3b-87a2-9c0e6f4d01cb,010,Caterpie,,,,,,Bug,,45,30,35,20,20,45,캐터피,caterpie.avif
f1122325-2e49-4453-9e4c-cc741ca4a782,011,Metapod,,,,,,Bug,,50,20,55,25,25,30,단데기,metapod.avif
7e981ed4-3ea2-4405-8a64-cba42c12099b,012,Butterfree,,,,,,Bug,Flying,60,45,50,90,80,70,버터플,butterfree.avif
b4d49411-416e-43a8-a9a1-3f8bd7f9bb47,013,Weedle,,,,,,Bug,Poison,40,35,30,20,20,50,뿔충이,weedle.avif
3e0312fb-7072-491c-8d0b-ef688fb308ab,014,Kakuna,,,,,,Bug,Poison,45,25,50,25,25,35,딱충이,kakuna.avif
c73700fa-3318-4a47-aed8-67080520af87,015,Beedrill,Mega Beedrill,,,,,Bug,Poison,65,90,40,45,80,75,독침붕,beedrill.avif
cc1be7fc-ccd9-459f-baad-972784631c13,016,Pidgey,,,,,,Normal,Flying,40,45,40,35,35,56,구구,pidgey.avif
